onu;suelos;3
GobDepartamento;Rios;4
GobDepartamento;densidad;4
GobDepartamento;LaPazAltiplano_uso;4
GobDepartamento;ZAE;4
GobDepartamento;ZAE_GAN;4
GobDepartamento;lluvia;4
GobDepartamento;veget;4
GobDepartamento;uniter;4
GobDepartamento;acceso;4
GobDepartamento;hidrogeo;4
GobDepartamento;lp_vi_ZAE2000;4
GobDepartamento;lp_vi_Suelos2000;4
GobDepartamento;lp_vi_Erosion2000;4
GobDepartamento;lp_vi_Isoyetas2000;4
GobDepartamento;lp_vi_Evapotranspiracion2000;4
GobDepartamento;lp_vi_Clima2000;4
GobDepartamento;lp_vi_SubCuenca2000;4
GobDepartamento;lp_vi_Cantones2000;4
GobDepartamento;lp_vi_Vegetacion2000;4
GobDepartamento;lp_vi_UnidadesTierra2000;4
GobDepartamento;lp_vi_RiesgoClimatico2000;4
GobDepartamento;lp_vi_Precipitacion-ETP2000;4
GobDepartamento;lp_vi_CuencaMenor2000;4
GobDepartamento;lp_vi_PreminenciaIdioma2000;4
GobDepartamento;lp_vi_AreasProtegidas2000;4
GobDepartamento;lp_vi_DensidadPoblacional2000;4
GobDepartamento;lp_vi_ValorGenerado2000;4
GobDepartamento;lp_vi_Geologia2000;4
GobDepartamento;lp_vi_UsoActual2000;4
GobDepartamento;lp_vi_Geomorfologia2000;4
GobDepartamento;lp_vi_Hidrogeologico2000;4
GobDepartamento;lp_vi_JerarquizacionPoblacional2000;4
GobDepartamento;lp_vi_Poblaciones2000;4
GobDepartamento;lp_vi_Isotermas2000;4
GobDepartamento;lp_vi_IncidenciaPobreza2000;4
GobDepartamento;lp_vi_EstacionesMetereologicas2000;4
GobDepartamento;HidrografiaArea;4
GobDepartamento;Tarija_Uso;4
GobDepartamento;urbano;4
GobDepartamento;Riesgo_Sequia;4
GobDepartamento;FisiografiaSuelosSantaCruz;4
GobDepartamento;Potencial_Forestal;4
GobDepartamento;ColectaMamiferos;4
GobDepartamento;Estado_Proteccion_Vegetacion;4
GobDepartamento;TipoVegetacion;4
GobDepartamento;ColectaAves;4
GobDepartamento;ColectaAnfibios;4
GobDepartamento;Estado_Conservacion_Vegetacion;4
GobDepartamento;aptitud_de_los_suelos_santacruz100;4
GobDepartamento;ColectaReptiles;4
GobDepartamento;Riesgo_Inundacion;4
GobDepartamento;Riesgo_Deslizamiento;4
universidades;AreasAccesoComunidades_QuechuaHablante;5
universidades;AreasAccesoComunidades-porcentaje_15_35;5
universidades;AreasAccesoComunidades;5
fondos;MDT_90m_NASA;5
georchestra;Provincia;5
georchestra;Departamento;5
GobMunicipal;otb_elalto_pea_hombres;5
GobMunicipal;otb_elalto_analfabetismo_mujeres;5
GobMunicipal;otb_elalto_sin_energia;5
GobMunicipal;otb_elalto_parto_atendido_misma_madre;5
GobMunicipal;otb_elalto_caneria_fuera_vivienda;5
GobMunicipal;otb_elalto_partos_domicilio;5
GobMunicipal;otb_elalto_densidad_poblacion;5
GobMunicipal;otb_elalto_partos_partera;5
GobMunicipal;otb_elalto_parto_atendido_medico;5
GobMunicipal;otb_elalto_razon_dependencia;5
GobMunicipal;otb_elalto_tasa_asistencia_escolar6_13;5
GobMunicipal;otb_elalto_masculinidad_inmigrate;5
GobMunicipal;otb_elalto_masculinidad;5
GobMunicipal;otb_elalto_partos_atendidos_otrapersona;5
GobMunicipal;otb_elalto_aguapotable_no_caneria;5
GobMunicipal;otb_elalto_pea_mujeres;5
GobMunicipal;otb_elalto_partos_establecimiento_salud;5
GobMunicipal;otb_elalto_pea;5
GobMunicipal;otb_elalto_sin_sanitario;5
GobMunicipal;otb_elalto_analfabetismo15-44;5
GobMunicipal;otb_elalto_analfabetismo_mas45;5
GobMunicipal;otb_elalto_inmigracion;5
